time,month,day,hour,storm_id,area,bounds,clon,clat,PS_u,PS_v,tmin,rain_vol,rain_max,tmean,tminlat,tminlon,-32_area,-32_tmean,-32_rain_max,minlat,maxlat,minlon,maxlon,rain_p99,rain_mean,tcw,psfc,q850,q925,ushear650_850,ushear650_925,w500_mean,w500_min,CAPE,CIN,LCL,ICAPE
2006-07-29 16:00:00,7,29,16,24,38952.0,"369,640,268,243",346.93225,6.79725,-3.2700000000000005,-0.99,206.72512680774932,58394.18492760517,49.05652681183906,216.79021704289264,5.74425,347.40475000000004,33296.0,223.48,127.6864016038702,5.44725,7.85025,345.36625000000004,348.45775000000003,35.2375455416584,2.417591403033418,56.035939182772665,1012.377738680353,0.012596885844761,0.0145415659727794,-9.069953762755102,-11.45184948979592,-4.87012012012012,-69.0,835.9105606250013,-1.277009251064491,963.6618620333252,213025.1173865956
2006-07-29 16:00:00,7,29,16,8,11529.0,"697,962,474,394",352.50775,10.45575,-6.915000000000001,0.675,203.12069973351387,67725.58502426179,16.148335526749122,213.47055424989844,9.74025,349.18675,76486.0,218.96,53.85669600182631,9.41625,10.91475,348.67375,349.72675000000004,9.001786211369065,0.3428352969145284,45.43969100105849,957.7564713092726,0.0134894034578179,0.0155490598812395,-11.548588966836734,-13.527383609693878,-0.7406229068988613,-4.625,,,,
2006-07-29 16:00:00,7,29,16,38,8151.75,"601,766,45,92",348.44425,9.72675,-11.52,-0.15,202.5899141926569,2575.438256993325,26.448897399668525,213.4074177504062,8.12025,349.51075000000003,2037.0,225.44,14.139302927580731,8.12025,8.72775,349.10575,350.34775,15.921325662851263,0.8059175213326317,48.54825440327048,972.5728224405956,0.0130927478134328,0.0153428369334765,-7.424625318877551,-11.908761160714286,-1.5469812925170068,-56.375,496.0449492766336,-29.20829454097525,931.7877915565952,63206.54297612558
2006-07-29 16:00:00,7,29,16,26,16323.75,"657,617,249,173",350.36125,6.98625,-5.324999999999999,4.725,203.2229882253934,30691.170404882123,23.70647961116725,215.082726048284,10.36125,347.98525,16901.0,220.51,35.57640917994103,9.74025,11.75175,346.90525,348.33625,21.955347961512185,1.1717647016015869,40.61171484359296,943.4820296598946,0.0131208605266043,0.0147453047607585,-10.270727040816327,-12.823281001589825,-2.582995951417004,-91.375,,,,
2006-07-29 16:00:00,7,29,16,24,8991.0,"369,640,268,243",346.93225,6.79725,-3.2700000000000005,-0.99,209.12125318325025,58394.18492760517,13.750867575961257,216.51656261967568,7.86375,348.64675,33296.0,223.48,127.6864016038702,5.93325,8.16075,347.93125000000003,348.64675,11.507437414357977,0.4991279484544045,50.28204032445453,993.805017744376,0.0130228341309999,0.0150606243928172,-10.78256536989796,-15.804647640306122,-2.2854708798017347,-70.375,,,,
2006-07-29 16:00:00,7,29,16,24,18101.25,"369,640,268,243",346.93225,6.79725,-3.2700000000000005,-0.99,207.29445692652325,58394.18492760517,60.43061230547198,217.7880120634215,5.90625,346.83775,33296.0,223.48,127.6864016038702,5.406750000000001,7.37775,345.93325,347.74225,44.74973755087196,2.676894333051404,51.15345390772704,1012.6453657444156,0.0122968736389765,0.0142152427638671,-10.67741549744898,-14.688576211734691,-4.081872946330778,-68.25,334.0175471283156,-9.32180584570539,942.97061609841,85121.6990643006
2006-07-29 16:00:00,7,29,16,13,6540.75,"526,781,147,212",348.01225,8.98425,-9.945,-0.09,212.81957959470145,7518.527721153065,3.213796617628403,217.3323922396609,8.29575,348.13375,7647.0,224.62,43.9124243954184,7.98525,9.09225,347.68825000000004,348.40375,1.1375001949531494,0.049095204249962,52.53355308414042,996.7212067094144,0.0129141774294631,0.0150752300206495,-9.619100765306122,-14.03029336734694,-2.1395833333333334,-76.5,,,,
2006-07-29 16:00:00,7,29,16,13,26725.5,"526,781,147,212",348.01225,8.98425,-9.945,-0.09,196.94179641608133,7518.527721153065,54.08314158945621,211.20973466501823,7.32375,349.94275,7647.0,224.62,43.9124243954184,7.10775,9.09225,349.01125,350.55025,44.72786394091048,5.132349757809944,48.36970782888926,977.2420492952696,0.0128096746736947,0.0150590683428608,-8.992466517857142,-13.438934948979592,-2.7323456352022713,-60.125,553.3200620274396,-9.323963267574795,906.4854770140762,70504.59505956162
2006-07-29 16:00:00,7,29,16,13,5060.25,"526,781,147,212",348.01225,8.98425,-9.945,-0.09,204.32665655587857,7518.527721153065,2.3741207892878564,213.23258525738245,7.31025,348.78175,7647.0,224.62,43.9124243954184,7.10775,7.95825,348.34975000000003,349.15975000000003,2.361356195869265,0.2469160017953411,52.33000835514221,1000.1034317158682,0.0129204757169497,0.0149669772660245,-9.85678411989796,-15.233179209183673,-3.500770739910314,-70.375,,,,
2006-07-29 16:00:00,7,29,16,8,9252.0,"697,962,474,394",352.50775,10.45575,-6.915000000000001,0.675,203.2229882253934,67725.58502426179,23.820162295593544,212.5292321089581,10.36125,347.98525,76486.0,218.96,53.85669600182631,9.74025,11.30625,347.67475,348.33625,23.25433588197166,2.07834299722377,40.61171484359296,943.4820296598946,0.0131208605266043,0.0147453047607585,-10.270727040816327,-12.823281001589825,-2.582995951417004,-91.375,,,,
2006-07-29 16:00:00,7,29,16,8,28219.5,"697,962,474,394",352.50775,10.45575,-6.915000000000001,0.675,198.82438344263107,67725.58502426179,39.28582255569267,208.1230478981697,12.11625,352.79125,76486.0,218.96,53.85669600182631,10.59075,13.37175,351.81925,352.99375000000003,24.29668571393961,2.8814594538233087,47.839401799430725,970.9858914865766,0.0129218747915357,0.0151985526198939,-6.820033482142857,-9.050701530612244,-3.35061629153269,-108.375,490.2811379424459,-25.698132484716503,838.4092360528259,777309.0003798052
2006-07-29 16:00:00,7,29,16,8,7888.5,"697,962,474,394",352.50775,10.45575,-6.915000000000001,0.675,204.1595335716302,67725.58502426179,11.397442105720332,213.3995283525177,9.51075,350.69875,76486.0,218.96,53.85669600182631,9.41625,10.29375,350.42875000000004,351.52225,3.51431891409534,0.1997025017628473,44.602765859201824,949.5516118226732,0.013870815024236,0.015447234736761,-10.62958386479592,-13.426069876295552,-1.2323613376835236,-39.125,,,,
2006-07-29 16:00:00,7,29,16,38,6507.0,"601,766,45,92",348.44425,9.72675,-11.52,-0.15,207.2749755507368,2575.438256993325,10.2261838987715,214.5923591310176,8.12025,349.17325,2037.0,225.44,14.139302927580731,8.12025,8.72775,349.10575,350.34775,6.916098734025129,0.3184132085661607,49.61772157565744,981.4851861899242,0.01305330200691,0.0151546392589807,-8.212133290816327,-12.992944834183673,-0.8873796423658872,-3.875,,,,
2006-07-29 16:00:00,7,29,16,8,10694.25,"697,962,474,394",352.50775,10.45575,-6.915000000000001,0.675,202.7535302592321,67725.58502426179,14.995081490627223,215.48943383165863,10.38825,350.95525000000004,76486.0,218.96,53.85669600182631,9.41625,11.23875,350.01025,351.30625000000003,12.105515513633224,0.6360894119103548,42.683892338830525,964.6829198451918,0.0132723648139104,0.0140930794521558,-9.885841836734691,-11.214724170918368,-0.8364983305509182,-5.75,606.7833741365595,-7.303932971372921,830.043559460608,584840.1761796619
2006-07-29 16:00:00,7,29,16,38,6509.25,"601,766,45,92",348.44425,9.72675,-11.52,-0.15,205.5604211642745,2575.438256993325,24.397427979030528,213.73397115884504,8.12025,349.82125,2037.0,225.44,14.139302927580731,8.12025,8.72775,349.21375,350.30725,22.107914975918728,2.487394297823176,46.58315583802177,961.2163170942972,0.0131194788430418,0.0154501477711144,-7.159000318877551,-11.912270826632358,-3.211953219927096,-76.125,,,,
